"Suburbs","PostCode","SoilType","DominantSoils","SoilPH","Crops","crops_photo1"
"Neerim","3831","Warragul with Nerrim South","Acidic Red Ferrosols","6.1","Cucumber","/crops photo/cucumber.jpg"
"Neerim","3831","Warragul with Nerrim South","Acidic Red Ferrosols","6.1","Eggplant","/crops photo/eggplant.jpg"
"Neerim","3831","Warragul with Nerrim South","Acidic Red Ferrosols","6.1","Potato","/crops photo/potato.jpg"
"Neerim","3831","Warragul with Nerrim South","Acidic Red Ferrosols","6.1","Tomato","/crops photo/tomato.jpg"
"Neerim","3831","Warragul with Nerrim South","Acidic Red Ferrosols","6.1","Zucchini","/crops photo/zucchini2.jpg"
"Nilma","3821","Riverine","Hydrosols","4.5","Oats","/oat.jpg"
"Leongatha","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Celery","/crops photo/Celery.jpg"
"Lillico","3820","Warragul","Acidic Red Ferrosols","6.1","Celery","/crops photo/Celery.jpg"
"Loch","3945","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Celery","/crops photo/Celery.jpg"
"Longwarry","3816","Narre","Yellow and Grey Sodosols","5.5","Celery","/crops photo/Celery.jpg"
"Mardan","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Celery","/crops photo/Celery.jpg"
"McMahons Creek","3799","Warragul","Acidic Red Ferrosols","6.1","Celery","/crops photo/Celery.jpg"
"Meeniyan","3956","Inverloch","Parapanic Podosols with Grey Kurosols","5.3","Oats","/oat.jpg"
"Mirboo","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Celery","/crops photo/Celery.jpg"
"Driffield","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Tomato","/crops photo/tomato.jpg"
"Driffield","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Zucchini","/crops photo/zucchini2.jpg"
"Foster","3960","Strzelecki","Strzelecki","5.9","Rice","/crops photo/rice.jpg"
"Foster","3960","Strzelecki","Strzelecki","5.9","Cucumber","/crops photo/cucumber.jpg"
"Foster","3960","Strzelecki","Strzelecki","5.9","Eggplant","/crops photo/eggplant.jpg"
"Foster","3960","Strzelecki","Strzelecki","5.9","Potato","/crops photo/potato.jpg"
"Foster","3960","Strzelecki","Strzelecki","5.9","Tomato","/crops photo/tomato.jpg"
"Foster","3960","Strzelecki","Strzelecki","5.9","Zucchini","/crops photo/zucchini2.jpg"
"Fumina","3825","Jindivick","Dark brownish grey or grey sandy loams","5.5","Rice","/crops photo/rice.jpg"
"Fumina","3825","Jindivick","Dark brownish grey or grey sandy loams","5.5","Cucumber","/crops photo/cucumber.jpg"
"Fumina","3825","Jindivick","Dark brownish grey or grey sandy loams","5.5","Eggplant","/crops photo/eggplant.jpg"
"Fumina","3825","Jindivick","Dark brownish grey or grey sandy loams","5.5","Potato","/crops photo/potato.jpg"
"Fumina","3825","Jindivick","Dark brownish grey or grey sandy loams","5.5","Tomato","/crops photo/tomato.jpg"
"Fumina","3825","Jindivick","Dark brownish grey or grey sandy loams","5.5","Zucchini","/crops photo/zucchini2.jpg"
"Glen Forbes","3990","French Island","Aeric and Aquic Podosols","5.5","Rice","/crops photo/rice.jpg"
"Glen Forbes","3990","French Island","Aeric and Aquic Podosols","5.5","Cucumber","/crops photo/cucumber.jpg"
"Glen Forbes","3990","French Island","Aeric and Aquic Podosols","5.5","Eggplant","/crops photo/eggplant.jpg"
"Glen Forbes","3990","French Island","Aeric and Aquic Podosols","5.5","Potato","/crops photo/potato.jpg"
"Glen Forbes","3990","French Island","Aeric and Aquic Podosols","5.5","Tomato","/crops photo/tomato.jpg"
"Glen Forbes","3990","French Island","Aeric and Aquic Podosols","5.5","Zucchini","/crops photo/zucchini2.jpg"
"Glengarry","3854","Yinnar","Brown Dermosols and Vertosols","6","Rice","/crops photo/rice.jpg"
"Glengarry","3854","Yinnar","Brown Dermosols and Vertosols","6","Cucumber","/crops photo/cucumber.jpg"
"Glengarry","3854","Yinnar","Brown Dermosols and Vertosols","6","Eggplant","/crops photo/eggplant.jpg"
"Glengarry","3854","Yinnar","Brown Dermosols and Vertosols","6","Potato","/crops photo/potato.jpg"
"Glengarry","3854","Yinnar","Brown Dermosols and Vertosols","6","Tomato","/crops photo/tomato.jpg"
"Glengarry","3854","Yinnar","Brown Dermosols and Vertosols","6","Zucchini","/crops photo/zucchini2.jpg"
"Hallston","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Rice","/crops photo/rice.jpg"
"Hallston","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Cucumber","/crops photo/cucumber.jpg"
"Childers","3824","Yarragon","Brown Dermosols and Hydrosols","6.2","Celery","/crops photo/Celery.jpg"
"Churchill","3842","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Celery","/crops photo/Celery.jpg"
"Cloverlea","3822","Yarragon","Brown Dermosols and Hydrosols","6.2","Celery","/crops photo/Celery.jpg"
"Coalville","3825","Leongatha Sth","Humose-Acidic, Dermosolic, Redoxic HYDROSOL","5","Oats","/oat.jpg"
"Corinella","3984","Monomeith with sandy rises","Grey, Yellow and Brown Sodosols","4.5","Oats","/oat.jpg"
"Coronet Bay","3984","Monomeith with sandy rises","Grey, Yellow and Brown Sodosols","4.5","Oats","/oat.jpg"
"Cowes","3922","Woolamai","deep sands","6.1","Celery","/crops photo/Celery.jpg"
"Crossover","3821","riverine","Hydrosols","4.5","Oats","/oat.jpg"
"Dalyston","3992","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Celery","/crops photo/Celery.jpg"
"Darnum","3822","Yarragon","Brown Dermosols and Hydrosols","6.2","Celery","/crops photo/Celery.jpg"
"Delburn","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Celery","/crops photo/Celery.jpg"
"Dollar","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Celery","/crops photo/Celery.jpg"
"Driffield","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Celery","/crops photo/Celery.jpg"
"Drouin","3818","Ripplebrook","Redoxic Hydrosols","5","Oats","/oat.jpg"
"Drouin West","3818","Ripplebrook","Redoxic Hydrosols","5","Oats","/oat.jpg"
"Dumbalk","3956","Inverloch","Parapanic Podosols with Grey Kurosols","5.3","Oats","/oat.jpg"
"Ellinbank","3821","riverine","Hydrosols","4.5","Oats","/oat.jpg"
"Erica","3825","sand dune","Aeric Podosols","4.5","Oats","/oat.jpg"
"Boolarra South","3870","Warragul with Silver Creek","Brown and Yellow Kandosols or Dermosols","6.1","Tomato","/crops photo/tomato.jpg"
"Boolarra South","3870","Warragul with Silver Creek","Brown and Yellow Kandosols or Dermosols","6.1","Zucchini","/crops photo/zucchini2.jpg"
"Cape Woolamai","3925","Woolamai","deep sands","6.1","Rice","/crops photo/rice.jpg"
"Cape Woolamai","3925","Woolamai","deep sands","6.1","Cucumber","/crops photo/cucumber.jpg"
"Cape Woolamai","3925","Woolamai","deep sands","6.1","Eggplant","/crops photo/eggplant.jpg"
"Cape Woolamai","3925","Woolamai","deep sands","6.1","Potato","/crops photo/potato.jpg"
"Cape Woolamai","3925","Woolamai","deep sands","6.1","Tomato","/crops photo/tomato.jpg"
"Cape Woolamai","3925","Woolamai","deep sands","6.1","Zucchini","/crops photo/zucchini2.jpg"
"Childers","3824","Yarragon","Brown Dermosols and Hydrosols","6.2","Rice","/crops photo/rice.jpg"
"Childers","3824","Yarragon","Brown Dermosols and Hydrosols","6.2","Cucumber","/crops photo/cucumber.jpg"
"Childers","3824","Yarragon","Brown Dermosols and Hydrosols","6.2","Eggplant","/crops photo/eggplant.jpg"
"Childers","3824","Yarragon","Brown Dermosols and Hydrosols","6.2","Potato","/crops photo/potato.jpg"
"Childers","3824","Yarragon","Brown Dermosols and Hydrosols","6.2","Tomato","/crops photo/tomato.jpg"
"Childers","3824","Yarragon","Brown Dermosols and Hydrosols","6.2","Zucchini","/crops photo/zucchini2.jpg"
"Childers","3824","Yarragon","Brown Dermosols and Hydrosols","6.2","Carrot","/crops photo/carrots.jpg"
"Churchill","3842","Boolarra with MorwellBoolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Rice","/crops photo/rice.jpg"
"Churchill","3842","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Cucumber","/crops photo/cucumber.jpg"
"Churchill","3842","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Eggplant","/crops photo/eggplant.jpg"
"Churchill","3842","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Potato","/crops photo/potato.jpg"
"Churchill","3842","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Tomato","/crops photo/tomato.jpg"
"Churchill","3842","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Zucchini","/crops photo/zucchini2.jpg"
"Cloverlea","3822","Yarragon","Brown Dermosols and Hydrosols","6.2","Rice","/crops photo/rice.jpg"
"Cloverlea","3822","Yarragon","Brown Dermosols and Hydrosols","6.2","Cucumber","/crops photo/cucumber.jpg"
"Cloverlea","3822","Yarragon","Brown Dermosols and Hydrosols","6.2","Eggplant","/crops photo/eggplant.jpg"
"Cloverlea","3822","Yarragon","Brown Dermosols and Hydrosols","6.2","Potato","/crops photo/potato.jpg"
"Cloverlea","3822","Yarragon","Brown Dermosols and Hydrosols","6.2","Tomato","/crops photo/tomato.jpg"
"Cloverlea","3822","Yarragon","Brown Dermosols and Hydrosols","6.2","Zucchini","/crops photo/zucchini2.jpg"
"Cloverlea","3822","Yarragon","Brown Dermosols and Hydrosols","6.2","Carrot","/crops photo/carrots.jpg"
"Cowes","3922","Woolamai","deep sands","6.1","Rice","/crops photo/rice.jpg"
"Cowes","3922","Woolamai","deep sands","6.1","Cucumber","/crops photo/cucumber.jpg"
"Loch","3945","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Tomato","/crops photo/tomato.jpg"
"Loch","3945","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Zucchini","/crops photo/zucchini2.jpg"
"Longwarry","3816","Narre","Yellow and Grey Sodosols","5.5","Rice","/crops photo/rice.jpg"
"Longwarry","3816","Narre","Yellow and Grey Sodosols","5.5","Cucumber","/crops photo/cucumber.jpg"
"Longwarry","3816","Narre","Yellow and Grey Sodosols","5.5","Eggplant","/crops photo/eggplant.jpg"
"Longwarry","3816","Narre","Yellow and Grey Sodosols","5.5","Potato","/crops photo/potato.jpg"
"Longwarry","3816","Narre","Yellow and Grey Sodosols","5.5","Tomato","/crops photo/tomato.jpg"
"Longwarry","3816","Narre","Yellow and Grey Sodosols","5.5","Zucchini","/crops photo/zucchini2.jpg"
"Mardan","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Rice","/crops photo/rice.jpg"
"Mardan","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Cucumber","/crops photo/cucumber.jpg"
"Mardan","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Eggplant","/crops photo/eggplant.jpg"
"Mardan","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Potato","/crops photo/potato.jpg"
"Mardan","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Tomato","/crops photo/tomato.jpg"
"Mardan","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Zucchini","/crops photo/zucchini2.jpg"
"McMahons Creek","3799","Warragul","Acidic Red Ferrosols","6.1","Rice","/crops photo/rice.jpg"
"McMahons Creek","3799","Warragul","Acidic Red Ferrosols","6.1","Cucumber","/crops photo/cucumber.jpg"
"McMahons Creek","3799","Warragul","Acidic Red Ferrosols","6.1","Eggplant","/crops photo/eggplant.jpg"
"McMahons Creek","3799","Warragul","Acidic Red Ferrosols","6.1","Potato","/crops photo/potato.jpg"
"McMahons Creek","3799","Warragul","Acidic Red Ferrosols","6.1","Tomato","/crops photo/tomato.jpg"
"McMahons Creek","3799","Warragul","Acidic Red Ferrosols","6.1","Zucchini","/crops photo/zucchini2.jpg"
"Mirboo","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Rice","/crops photo/rice.jpg"
"Mirboo","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Cucumber","/crops photo/cucumber.jpg"
"Mirboo","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Eggplant","/crops photo/eggplant.jpg"
"Mirboo","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Potato","/crops photo/potato.jpg"
"Mirboo","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Tomato","/crops photo/tomato.jpg"
"Mirboo","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Zucchini","/crops photo/zucchini2.jpg"
"Mirboo North","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Rice","/crops photo/rice.jpg"
"Mirboo North","3871","Silver Creek with Warragul","Brown and Yellow Kandosols or Dermosols","6.1","Cucumber","/crops photo/cucumber.jpg"
"Kernot","3979","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Celery","/crops photo/Celery.jpg"
"Kilcunda","3995","Leongatha Sth","Humose-Acidic, Dermosolic, Redoxic HYDROSOL","5","Oats","/oat.jpg"
"Kongwak","3951","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Celery","/crops photo/Celery.jpg"
"Koonwarra","3954","Koonwarra","Yellow and Grey Sodosols","5.7","Celery","/crops photo/Celery.jpg"
"Koornalla","3844","sand dune","Rudosols","4.5","Oats","/oat.jpg"
"Korumburra","3950","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Celery","/crops photo/Celery.jpg"
"Krowera","3945","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Celery","/crops photo/Celery.jpg"
"Labertouche","3816","Narre","Yellow and Grey Sodosols","5.5","Celery","/crops photo/Celery.jpg"
"Lardner","3821","riverine","Hydrosols","4.5","Oats","/oat.jpg"
"Berrys Creek","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Zucchini","/crops photo/zucchini2.jpg"
"Bona Vista","3820","Warragul","Acidic Red Ferrosols","6.1","Rice","/crops photo/rice.jpg"
"Bona Vista","3820","Warragul","Acidic Red Ferrosols","6.1","Cucumber","/crops photo/cucumber.jpg"
"Bona Vista","3820","Warragul","Acidic Red Ferrosols","6.1","Eggplant","/crops photo/eggplant.jpg"
"Bona Vista","3820","Warragul","Acidic Red Ferrosols","6.1","Potato","/crops photo/potato.jpg"
"Bona Vista","3820","Warragul","Acidic Red Ferrosols","6.1","Tomato","/crops photo/tomato.jpg"
"Bona Vista","3820","Warragul","Acidic Red Ferrosols","6.1","Zucchini","/crops photo/zucchini2.jpg"
"Boolarra","3870","Warragul with Silver Creek","Brown and Yellow Kandosols or Dermosols","6.1","Rice","/crops photo/rice.jpg"
"Boolarra","3870","Warragul with Silver Creek","Brown and Yellow Kandosols or Dermosols","6.1","Cucumber","/crops photo/cucumber.jpg"
"Boolarra","3870","Warragul with Silver Creek","Brown and Yellow Kandosols or Dermosols","6.1","Eggplant","/crops photo/eggplant.jpg"
"Boolarra","3870","Warragul with Silver Creek","Brown and Yellow Kandosols or Dermosols","6.1","Potato","/crops photo/potato.jpg"
"Boolarra","3870","Warragul with Silver Creek","Brown and Yellow Kandosols or Dermosols","6.1","Tomato","/crops photo/tomato.jpg"
"Boolarra","3870","Warragul with Silver Creek","Brown and Yellow Kandosols or Dermosols","6.1","Zucchini","/crops photo/zucchini2.jpg"
"Boolarra South","3870","Warragul with Silver Creek","Brown and Yellow Kandosols or Dermosols","6.1","Rice","/crops photo/rice.jpg"
"Boolarra South","3870","Warragul with Silver Creek","Brown and Yellow Kandosols or Dermosols","6.1","Cucumber","/crops photo/cucumber.jpg"
"Boolarra South","3870","Warragul with Silver Creek","Brown and Yellow Kandosols or Dermosols","6.1","Eggplant","/crops photo/eggplant.jpg"
"Boolarra South","3870","Warragul with Silver Creek","Brown and Yellow Kandosols or Dermosols","6.1","Potato","/crops photo/potato.jpg"
"Kardella","3951","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Zucchini","/crops photo/zucchini2.jpg"
"Kernot","3979","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Rice","/crops photo/rice.jpg"
"Kernot","3979","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Cucumber","/crops photo/cucumber.jpg"
"Kernot","3979","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Eggplant","/crops photo/eggplant.jpg"
"Kernot","3979","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Potato","/crops photo/potato.jpg"
"Kernot","3979","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Tomato","/crops photo/tomato.jpg"
"Kernot","3979","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Zucchini","/crops photo/zucchini2.jpg"
"Kongwak","3951","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Rice","/crops photo/rice.jpg"
"Kongwak","3951","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Cucumber","/crops photo/cucumber.jpg"
"Kongwak","3951","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Eggplant","/crops photo/eggplant.jpg"
"Kongwak","3951","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Potato","/crops photo/potato.jpg"
"Kongwak","3951","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Tomato","/crops photo/tomato.jpg"
"Kongwak","3951","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Zucchini","/crops photo/zucchini2.jpg"
"Koonwarra","3954","Koonwarra","Yellow and Grey Sodosols","5.7","Rice","/crops photo/rice.jpg"
"Koonwarra","3954","Koonwarra","Yellow and Grey Sodosols","5.7","Cucumber","/crops photo/cucumber.jpg"
"Koonwarra","3954","Koonwarra","Yellow and Grey Sodosols","5.7","Eggplant","/crops photo/eggplant.jpg"
"Koonwarra","3954","Koonwarra","Yellow and Grey Sodosols","5.7","Potato","/crops photo/potato.jpg"
"Koonwarra","3954","Koonwarra","Yellow and Grey Sodosols","5.7","Tomato","/crops photo/tomato.jpg"
"Koonwarra","3954","Koonwarra","Yellow and Grey Sodosols","5.7","Zucchini","/crops photo/zucchini2.jpg"
"Korumburra","3950","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Rice","/crops photo/rice.jpg"
"Korumburra","3950","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Cucumber","/crops photo/cucumber.jpg"
"Korumburra","3950","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Eggplant","/crops photo/eggplant.jpg"
"Korumburra","3950","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Potato","/crops photo/potato.jpg"
"Jam Jerrup","3984","Monomeith with sandy rises","Grey, Yellow and Brown Sodosols","4.5","Oats","/oat.jpg"
"Jeeralang","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Celery","/crops photo/Celery.jpg"
"Jeetho","3945","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Celery","/crops photo/Celery.jpg"
"Jindivick","3818","Ripplebrook","Redoxic Hydrosols","5","Oats","/oat.jpg"
"Jumbuk","3869","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Celery","/crops photo/Celery.jpg"
"Jumbunna","3951","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Celery","/crops photo/Celery.jpg"
"Kardella","3951","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Celery","/crops photo/Celery.jpg"
"Aberfeldy","3825","Warragul with Silver Creek","Brown and Yellow Kandosols or Dermosols","6.1","Rice","/crops photo/rice.jpg"
"Agnes","3962","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Zucchini","/crops photo/zucchini2.jpg"
"Agnes","3962","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Tomato","/crops photo/tomato.jpg"
"Agnes","3962","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Potato","/crops photo/potato.jpg"
"Agnes","3962","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Eggplant","/crops photo/eggplant.jpg"
"Agnes","3962","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Cucumber","/crops photo/cucumber.jpg"
"Agnes","3962","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Rice","/crops photo/rice.jpg"
"Allambee","3823","Yarragon","Brown Dermosols and Hydrosols","6.2","Rice","/crops photo/rice.jpg"
"Allambee","3823","Yarragon","Brown Dermosols and Hydrosols","6.2","Cucumber","/crops photo/cucumber.jpg"
"Allambee","3823","Yarragon","Brown Dermosols and Hydrosols","6.2","Eggplant","/crops photo/eggplant.jpg"
"Allambee","3823","Yarragon","Brown Dermosols and Hydrosols","6.2","Potato","/crops photo/potato.jpg"
"Allambee","3823","Yarragon","Brown Dermosols and Hydrosols","6.2","Tomato","/crops photo/tomato.jpg"
"Allambee","3823","Yarragon","Brown Dermosols and Hydrosols","6.2","Zucchini","/crops photo/zucchini2.jpg"
"Allambee","3823","Yarragon","Brown Dermosols and Hydrosols","6.2","Carrot","/crops photo/carrots.jpg"
"Almurta","3979","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Rice","/crops photo/rice.jpg"
"Almurta","3979","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Cucumber","/crops photo/cucumber.jpg"
"Almurta","3979","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Eggplant","/crops photo/eggplant.jpg"
"Almurta","3979","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Potato","/crops photo/potato.jpg"
"Hill End","3825","Jindivick","Dark brownish grey or grey sandy loams","5.5","Cucumber","/crops photo/cucumber.jpg"
"Hill End","3825","Jindivick","Dark brownish grey or grey sandy loams","5.5","Eggplant","/crops photo/eggplant.jpg"
"Hill End","3825","Jindivick","Dark brownish grey or grey sandy loams","5.5","Potato","/crops photo/potato.jpg"
"Hill End","3825","Jindivick","Dark brownish grey or grey sandy loams","5.5","Tomato","/crops photo/tomato.jpg"
"Hill End","3825","Jindivick","Dark brownish grey or grey sandy loams","5.5","Zucchini","/crops photo/zucchini2.jpg"
"Icy Creek","3833","Jindivick","Dark brownish grey or grey sandy loams","5.5","Rice","/crops photo/rice.jpg"
"Icy Creek","3833","Jindivick","Dark brownish grey or grey sandy loams","5.5","Cucumber","/crops photo/cucumber.jpg"
"Icy Creek","3833","Jindivick","Dark brownish grey or grey sandy loams","5.5","Eggplant","/crops photo/eggplant.jpg"
"Icy Creek","3833","Jindivick","Dark brownish grey or grey sandy loams","5.5","Potato","/crops photo/potato.jpg"
"Icy Creek","3833","Jindivick","Dark brownish grey or grey sandy loams","5.5","Tomato","/crops photo/tomato.jpg"
"Icy Creek","3833","Jindivick","Dark brownish grey or grey sandy loams","5.5","Zucchini","/crops photo/zucchini2.jpg"
"Jeeralang","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Rice","/crops photo/rice.jpg"
"Jeeralang","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Cucumber","/crops photo/cucumber.jpg"
"Jeeralang","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Eggplant","/crops photo/eggplant.jpg"
"Jeeralang","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Potato","/crops photo/potato.jpg"
"Jeeralang","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Tomato","/crops photo/tomato.jpg"
"Jeeralang","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Zucchini","/crops photo/zucchini2.jpg"
"Jeetho","3945","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Rice","/crops photo/rice.jpg"
"Jeetho","3945","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Cucumber","/crops photo/cucumber.jpg"
"Jeetho","3945","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Eggplant","/crops photo/eggplant.jpg"
