"Suburbs","PostCode","SoilType","DominantSoils","SoilPH","Crops","crops_photo1"
"Morwell","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Cucumber","/crops photo/cucumber.jpg"
"Morwell","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Eggplant","/crops photo/eggplant.jpg"
"Morwell","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Potato","/crops photo/potato.jpg"
"Morwell","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Tomato","/crops photo/tomato.jpg"
"Morwell","3840","Boolarra with Morwell","Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols","5.5","Zucchini","/crops photo/zucchini2.jpg"
"Narracan","3824","Yarragon","Brown Dermosols and Hydrosols","6.2","Rice","/crops photo/rice.jpg"
"Narracan","3824","Yarragon","Brown Dermosols and Hydrosols","6.2","Cucumber","/crops photo/cucumber.jpg"
"Narracan","3824","Yarragon","Brown Dermosols and Hydrosols","6.2","Eggplant","/crops photo/eggplant.jpg"
"Narracan","3824","Yarragon","Brown Dermosols and Hydrosols","6.2","Potato","/crops photo/potato.jpg"
"Narracan","3824","Yarragon","Brown Dermosols and Hydrosols","6.2","Tomato","/crops photo/tomato.jpg"
"Narracan","3824","Yarragon","Brown Dermosols and Hydrosols","6.2","Zucchini","/crops photo/zucchini2.jpg"
"Warragul","3820","Warragul","Acidic Red Ferrosols","6.1","Celery","/crops photo/Celery.jpg"
"Warragul","3820","Warragul","Acidic Red Ferrosols","6.1","Rice","/crops photo/rice.jpg"
"Warragul","3820","Warragul","Acidic Red Ferrosols","6.1","Cucumber","/crops photo/cucumber.jpg"
"Warragul","3820","Warragul","Acidic Red Ferrosols","6.1","Eggplant","/crops photo/eggplant.jpg"
"Warragul","3820","Warragul","Acidic Red Ferrosols","6.1","Potato","/crops photo/potato.jpg"
