,Suburbs,Post Code,Latitude,Longitude,Temperature,Description,Wind,soil_type,landform,geology
85,Longwarry,3816,-38.18,145.72,284.08,clear sky,0.45,Narre,Pleistocene (late) to Recent sediments,Not Available
86,Mardan,3953,-38.45,145.92,280.37,clear sky,0.45,Strzelecki,Cretaceous sediments,"Acidic Grey, Yellow and Brown Dermosols"
87,McMahons Creek,3799,-37.74,145.74,282.41,clear sky,1.34,Not Available,Not Available,Not Available
88,Meeniyan,3956,-38.58,145.98,280.99,clear sky,0.45,Inverloch,Tertiary sediments,Parapanic Podosols with Grey Kurosols
89,Mirboo,3871,-38.33,146.23,281.8,clear sky,1.85,Silver Creek with Warragul,Tertiary sediments & Tertiary basalts,Not Available
90,Mirboo,3871,-38.33,146.23,281.8,clear sky,1.85,Silver Creek with Warragul,Tertiary sediments & Tertiary basalts,Not Available
91,Mirboo North,3871,-38.33,146.23,281.8,clear sky,1.85,Silver Creek with Warragul,Tertiary sediments & Tertiary basalts,Not Available
92,Modella,3816,-38.18,145.72,284.08,clear sky,0.45,Narre,Pleistocene (late) to Recent sediments,Not Available
93,Modella,3816,-38.18,145.72,284.08,clear sky,0.45,Narre,Pleistocene (late) to Recent sediments,Not Available
94,Moe,3825,-37.95,146.4,282.27,clear sky,2.01,Not Available,Not Available,Not Available
95,Moe,3825,-37.95,146.4,282.27,clear sky,2.01,Not Available,Not Available,Not Available
96,Morwell,3840,-38.3,146.48,281.48,clear sky,1.02,Boolarra with Morwell,Tertiary (Pliocene) sediments,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols
97,Narracan,3824,-38.21,146.15,281.63,clear sky,1.3,Yarragon,Pleistocene (late) sediments,Not Available
98,Nayook,3832,-37.93,145.96,282.37,clear sky,0.89,Warragul with Nerrim South,Tertiary Basalts,Not Available
99,Neerim,3831,-37.97,145.95,282.33,clear sky,0.89,Warragul with Nerrim South,Tertiary Basalts,Not Available
100,Neerim South,3831,-37.97,145.95,282.33,clear sky,0.89,Warragul with Nerrim South,Tertiary Basalts,Not Available
101,Newborough,3825,-37.95,146.4,282.27,clear sky,2.01,Not Available,Not Available,Not Available
102,Newhaven,3925,-38.51,145.36,285.65,clear sky,7.36,Not Available,Not Available,Not Available
103,Nilma,3821,-38.08,146.0,282.02,clear sky,0.45,riverine,Recent sediments,Not Available
104,Nilma North,3821,-38.08,146.0,282.02,clear sky,0.45,riverine,Recent sediments,Not Available
105,Noojee,3833,-37.83,146.0,282.15,light rain,0.89,Jindivick,Devonian granites,Not Available
106,North Wonthaggi,3995,-38.57,145.7,283.88,clear sky,0.45,Leongatha Sth,Tertiary sediments,Not Available
107,Nyora,3987,-38.33,145.67,285.06,clear sky,4.47,Athlone,"Mostly Cretaceous, some Tert & Paleozoic seds",Acidic Yellow Dermosols
108,Nyora,3987,-38.33,145.67,285.06,clear sky,4.47,Athlone,"Mostly Cretaceous, some Tert & Paleozoic seds",Acidic Yellow Dermosols
109,Nyora,3987,-38.33,145.67,285.06,clear sky,4.47,Athlone,"Mostly Cretaceous, some Tert & Paleozoic seds",Acidic Yellow Dermosols
110,Outtrim,3951,-38.48,145.73,284.0,light rain,0.45,Strzelecki,Cretaceous sediments,"Acidic Grey, Yellow and Brown Dermosols"
111,Outtrim,3951,-38.48,145.73,284.0,light rain,0.45,Strzelecki,Cretaceous sediments,"Acidic Grey, Yellow and Brown Dermosols"
112,Piedmont,3833,-37.83,146.0,282.15,light rain,0.89,Jindivick,Devonian granites,Not Available
113,Pioneer Bay,3984,-38.32,145.56,285.09,clear sky,4.47,Monomeith with sandy rises,Pleistocene (late) sediments,"Grey, Yellow and Brown Sodosols"
114,Poowong,3988,-38.27,145.87,281.85,clear sky,0.45,Strzelecki,Cretaceous sediments,"Acidic Grey, Yellow and Brown Dermosols"
115,Port Franklin,3964,-38.68,146.27,281.18,clear sky,3.7,Agnes,Pleistocene (late) to recent alluvium & colluvium,Yellow Kandosols
116,Port Welshpool,3965,-38.7,146.45,281.48,clear sky,4.92,Not Available,Not Available,Not Available
117,Ranceby,3951,-38.48,145.73,284.0,light rain,0.45,Strzelecki,Cretaceous sediments,"Acidic Grey, Yellow and Brown Dermosols"
118,Rawson,3825,-37.95,146.4,282.27,clear sky,2.01,Not Available,Not Available,Not Available
119,Rhyll,3923,-38.46,145.3,285.38,clear sky,7.66,Red Hill,Tertiary  Basalts,Not Available
120,Rokeby,3821,-38.08,146.0,282.02,clear sky,0.45,riverine,Recent sediments,Not Available
121,Ruby,3953,-38.45,145.92,280.37,clear sky,0.45,Strzelecki,Cretaceous sediments,"Acidic Grey, Yellow and Brown Dermosols"
122,San Remo,3925,-38.51,145.36,285.65,clear sky,7.36,Not Available,Not Available,Not Available
123,Sandy Point,3959,-38.82,146.12,285.13,clear sky,5.38,sand dune,Pleistocene to Recent aeolian sediments,Not Available
124,Shady Creek,3821,-38.08,146.0,282.02,clear sky,0.45,riverine,Recent sediments,Not Available
125,Silverleaves,3922,-38.46,145.08,285.38,clear sky,8.31,Not Available,Not Available,Not Available
126,South Dudley,3995,-38.57,145.7,283.88,clear sky,0.45,Leongatha Sth,Tertiary sediments,Not Available
127,Stony Creek,3371,-37.22,143.72,279.71,clear sky,3.95,Not Available,Not Available,Not Available
128,Stony Creek,3957,-38.58,146.03,281.04,clear sky,0.45,Koonwarra,Cretaceous sediments,Not Available
129,Strzelecki,3950,-38.47,145.85,283.35,clear sky,0.45,Strzelecki,Cretaceous sediments,"Acidic Grey, Yellow and Brown Dermosols"
130,Strzelecki,3950,-38.47,145.85,283.35,clear sky,0.45,Strzelecki,Cretaceous sediments,"Acidic Grey, Yellow and Brown Dermosols"
131,Sunderland Bay,3922,-38.46,145.08,285.38,clear sky,8.31,Not Available,Not Available,Not Available
132,Sunset Strip,3922,-38.46,145.08,285.38,clear sky,8.31,Not Available,Not Available,Not Available
133,Surf Beach,3922,-38.46,145.08,285.38,clear sky,8.31,Not Available,Not Available,Not Available
134,Tanjil Bren,3833,-37.83,146.0,282.15,light rain,0.89,Jindivick,Devonian granites,Not Available
135,Tanjil South,3825,-37.95,146.4,282.27,clear sky,2.01,Not Available,Not Available,Not Available
136,Tanjil South,3825,-37.95,146.4,282.27,clear sky,2.01,Not Available,Not Available,Not Available
137,Tarwin,3956,-38.58,145.98,280.99,clear sky,0.45,Inverloch,Tertiary sediments,Parapanic Podosols with Grey Kurosols
138,Tarwin Lower,3956,-38.58,145.98,280.99,clear sky,0.45,Inverloch,Tertiary sediments,Parapanic Podosols with Grey Kurosols
139,Tenby Point,3984,-38.32,145.56,285.09,clear sky,4.47,Monomeith with sandy rises,Pleistocene (late) sediments,"Grey, Yellow and Brown Sodosols"
140,The Gurdies,3984,-38.32,145.56,285.09,clear sky,4.47,Monomeith with sandy rises,Pleistocene (late) sediments,"Grey, Yellow and Brown Sodosols"
141,Thorpdale,3835,-38.28,146.18,281.82,clear sky,1.39,Warragul,Tertiary Basalts,Acidic Red Ferrosols
142,Toongabbie,3856,-38.05,146.62,281.48,clear sky,0.94,Toongabbie,Pleistocene (Qp5) sediments,Not Available
143,Toongabbie,3856,-38.05,146.62,281.48,clear sky,0.94,Toongabbie,Pleistocene (Qp5) sediments,Not Available
144,Toora,3962,-38.56,146.39,281.12,clear sky,3.64,Strzelecki,Cretaceous sediments,"Acidic Grey, Yellow and Brown Dermosols"
145,Torwood,3821,-38.08,146.0,282.02,clear sky,0.45,riverine,Recent sediments,Not Available
146,Trafalgar,3824,-38.21,146.15,281.63,clear sky,1.3,Yarragon,Pleistocene (late) sediments,Not Available
147,Trafalgar East,3824,-38.21,146.15,281.63,clear sky,1.3,Yarragon,Pleistocene (late) sediments,Not Available
148,Trafalgar South,3824,-38.21,146.15,281.63,clear sky,1.3,Yarragon,Pleistocene (late) sediments,Not Available
149,Traralgon,3844,-38.32,146.6,281.48,clear sky,1.29,drainage high level,Pleistocene to Recent sediments,Rudosols
150,Traralgon South,3844,-38.32,146.6,281.48,clear sky,1.29,drainage high level,Pleistocene to Recent sediments,Rudosols
151,Trida,3953,-38.45,145.92,280.37,clear sky,0.45,Strzelecki,Cretaceous sediments,"Acidic Grey, Yellow and Brown Dermosols"
152,Trida,3953,-38.45,145.92,280.37,clear sky,0.45,Strzelecki,Cretaceous sediments,"Acidic Grey, Yellow and Brown Dermosols"
153,Turtons Creek,3960,-38.56,146.16,281.2,clear sky,3.64,Strzelecki,Cretaceous sediments,"Acidic Grey, Yellow and Brown Dermosols"
154,Tyers,3844,-38.32,146.6,281.48,clear sky,1.29,drainage high level,Pleistocene to Recent sediments,Rudosols
155,Ventnor,3922,-38.46,145.08,285.38,clear sky,8.31,Not Available,Not Available,Not Available
156,Venus Bay,3956,-38.58,145.98,280.99,clear sky,0.45,Inverloch,Tertiary sediments,Parapanic Podosols with Grey Kurosols
157,Vesper,3833,-37.83,146.0,282.15,light rain,0.89,Jindivick,Devonian granites,Not Available
158,Walhalla,3825,-37.95,146.4,282.27,clear sky,2.01,Not Available,Not Available,Not Available
159,Walkerville,3956,-38.58,145.98,280.99,clear sky,0.45,Inverloch,Tertiary sediments,Parapanic Podosols with Grey Kurosols
160,Waratah Bay,3959,-38.82,146.12,285.13,clear sky,5.38,sand dune,Pleistocene to Recent aeolian sediments,Not Available
161,Warragul,3820,-38.15,145.94,281.74,clear sky,0.45,Warragul,Tertiary Basalts,Acidic Red Ferrosols
162,Wattle Bank,3995,-38.57,145.7,283.88,clear sky,0.45,Leongatha Sth,Tertiary sediments,Not Available
163,Welshpool,3966,-38.67,146.43,281.48,clear sky,4.53,Agnes,Pleistocene (late) to recent alluvium & colluvium,Yellow Kandosols
164,West Creek,3992,-38.53,145.58,284.1,clear sky,5.79,Strzelecki,Cretaceous sediments,"Acidic Grey, Yellow and Brown Dermosols"
165,Westbury,3825,-37.95,146.4,282.27,clear sky,2.01,Not Available,Not Available,Not Available
166,Willow Grove,3825,-37.95,146.4,282.27,clear sky,2.01,Not Available,Not Available,Not Available
